,Utility,Options GNU
53,[,"['--help', '--version', '-n', '-z', '-b', '-c', '-d', '-e', '-f', '-g', '-G', '-h', '-k', '-L', '-N', '-O', '-p', '-r', '-s', '-S', '-t', '-u', '-w', '-x']"
83,b2sum,"['-b', '-c', '-l', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
57,base32,"['-d', '-i', '-w', '--help', '--version']"
9,base64,"['-d', '-i', '-w', '--help', '--version']"
98,basename,"['-a', '-s', '-z', '--help', '--version']"
103,basenc,"['--base64', '--base64url', '--base32', '--base32hex', '--base16', '--base2msbf', '--base2lsbf', '-d', '-i', '-w', '--z85', '--help', '--version']"
1,cat,"['-A', '-b', '-e', '-E', '-n', '-s', '-t', '-T', '-u', '-v', '--help', '--version']"
79,chcon,"['--dereference', '-h', '-u', '-r', '-t', '-l', '--no', '--preserve', '--reference', '-R', '-v', '-H', '-L', '-P', '--help', '--version']"
77,chgrp,"['-c', '-f', '-v', '--dereference', '-h', '--no', '--preserve', '--reference', '-R', '-H', '-L', '-P', '--help', '--version']"
8,chmod,"['-c', '-f', '-v', '--no', '--preserve', '--reference', '-R', '--help', '--version']"
59,chown,"['-c', '-f', '-v', '--dereference', '-h', '--from', '--no', '--preserve', '--reference', '-R', '-H', '-L', '-P', '--help', '--version']"
93,chroot,"['--groups', '--userspec', '--skip', '--help', '--version']"
61,cksum,"['-a', '-b', '-c', '-l', '--raw', '--tag', '--untagged', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--debug', '--help', '--version']"
91,comm,"['-1', '-2', '-3', '--check', '--nocheck', '--output', '--total', '-z', '--help', '--version']"
54,cp,"['-a', '--attributes', '--backup', '-b', '--copy', '-d', '--debug', '-f', '-i', '-H', '-l', '-L', '-n', '-u', '-P', '-p', '--preserve', '--no', '--parents', '-R', '--reflink', '--remove', '--sparse', '--strip', '-s', '-S', '-t', '-T', '--update', '-u', '-v', '-x', '-Z', '--context', '--help', '--version']"
34,csplit,"['-b', '-f', '-k', '--suppress', '-n', '-s', '-z', '--help', '--version']"
68,cut,"['-b', '-c', '-d', '-f', '-n', '--complement', '-s', '--output', '-z', '--help', '--version', '-M']"
84,date,"['-d', '--debug', '-f', '-I', '--resolution', '-R', '--rfc', '-r', '-s', '-u', '--help', '--version']"
17,dcgen,[]
41,dd,"['--help', '--version']"
14,df,"['-a', '-B', '-h', '-H', '-i', '-k', '-l', '--no', '--output', '-P', '--sync', '--total', '-t', '-T', '-x', '-v', '--help', '--version']"
58,dir,"['-a', '-A', '--author', '-b', '--block', '-B', '-c', '-C', '--color', '-d', '-D', '-f', '-F', '--file', '--format', '--full', '-g', '--group', '-G', '-h', '--si', '-H', '--dereference', '--hide', '--hyperlink', '--indicator', '-i', '-I', '-k', '-l', '-L', '-m', '-n', '-N', '-o', '-p', '-q', '--show', '-Q', '--quoting', '-r', '-R', '-s', '-S', '--sort', '--time', '--time', '-t', '-T', '-u', '-U', '-v', '-w', '-x', '-X', '-Z', '--zero', '-1', '--help', '--version']"
37,dircolors,"['-b', '-c', '-p', '--print', '--help', '--version']"
107,dirname,"['-z', '--help', '--version']"
94,du,"['-0', '-a', '--apparent', '-B', '-b', '-c', '-D', '-d', '--summarize', '--files0', '-H', '-h', '--inodes', '-k', '-L', '-l', '-m', '-P', '-S', '--si', '-s', '-t', '--time', '--time', '--time', '-X', '--exclude', '-x', '--help', '--version']"
11,echo,"['-n', '-e', '-E', '--help', '--version']"
90,env,"['-i', '-0', '-u', '-C', '-S', '--block', '--default', '--ignore', '--list', '-v', '--help', '--version']"
32,expand,"['-i', '-t', '-t', '--help', '--version']"
56,expr,"['--help', '--version']"
80,factor,"['-h', '--help', '--version']"
31,false,[]
62,fmt,"['-c', '-p', '-s', '-t', '-u', '-w', '-g', '--help', '--version']"
36,fold,"['-b', '-s', '-w', '--help', '--version']"
25,getlimits,"['--help', '--version']"
60,ginstall,"['--backup', '-b', '-c', '-C', '-d', '-D', '--debug', '-g', '-m', '-o', '-p', '-s', '--strip', '-S', '-t', '-T', '-v', '--preserve', '-Z', '--context', '--help', '--version']"
69,groups,"['--help', '--version']"
21,head,"['-c', '-n', '-q', '-v', '-z', '--help', '--version']"
86,hostid,"['--help', '--version']"
72,id,"['-a', '-Z', '-g', '-G', '-n', '-r', '-u', '-z', '--help', '--version']"
22,join,"['-a', '-e', '-i', '-j', '-o', '-t', '-v', '-1', '-2', '--check', '--nocheck', '--header', '-z', '--help', '--version']"
35,kill,"['-s', '-l', '-t', '--help', '--version']"
47,link,"['--help', '--version']"
82,ln,"['--backup', '-b', '-d', '-f', '-i', '-L', '-n', '-P', '-r', '-s', '-S', '-t', '-T', '-v', '--help', '--version']"
3,logname,"['--help', '--version']"
96,ls,"['-a', '-A', '--author', '-b', '--block', '-B', '-c', '-C', '--color', '-d', '-D', '-f', '-F', '--file', '--format', '--full', '-g', '--group', '-G', '-h', '--si', '-H', '--dereference', '--hide', '--hyperlink', '--indicator', '-i', '-I', '-k', '-l', '-L', '-m', '-n', '-N', '-o', '-p', '-q', '--show', '-Q', '--quoting', '-r', '-R', '-s', '-S', '--sort', '--time', '--time', '-t', '-T', '-u', '-U', '-v', '-w', '-x', '-X', '-Z', '--zero', '-1', '--help', '--version']"
89,make-prime-list,[]
6,md5sum,"['-b', '-c', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
106,mkdir,"['-m', '-p', '-v', '-Z', '--context', '--help', '--version']"
2,mkfifo,"['-m', '-Z', '--context', '--help', '--version']"
48,mknod,"['-m', '-Z', '--context', '--help', '--version']"
16,mktemp,"['-d', '-u', '-q', '--suffix', '-p', '-t', '--help', '--version']"
51,mv,"['--backup', '-b', '--debug', '-f', '-i', '-n', '--no', '--strip', '-S', '-t', '-T', '--update', '-u', '-v', '-Z', '--help', '--version']"
7,nice,"['-20', '-n', '--help', '--version']"
65,nl,"['-b', '-d', '-f', '-h', '-i', '-l', '-n', '-p', '-s', '-v', '-w', '--help', '--version']"
49,nohup,"['--help', '--version']"
40,nproc,"['--all', '--ignore', '--help', '--version']"
27,numfmt,"['--debug', '-d', '--field', '--format', '--from', '--from', '--grouping', '--header', '--invalid', '--padding', '--round', '--suffix', '--to', '--to', '-z', '--help', '--version', '-M']"
52,od,"['-A', '--endian', '-j', '-N', '-S', '-t', '-v', '-w', '--traditional', '--help', '--version', '-a', '-b', '-c', '-d', '-f', '-i', '-l', '-o', '-s', '-x']"
13,paste,"['-d', '-s', '-z', '--help', '--version']"
18,pathchk,"['-p', '-P', '--portability', '--help', '--version']"
85,pinky,"['-l', '-b', '-h', '-p', '-s', '-f', '-w', '-i', '-q', '--help', '--version']"
44,pr,"['-COLUMN', '-a', '-c', '-d', '-D', '-e', '-F', '-h', '-h', '-i', '-J', '-l', '-m', '-n', '-N', '-o', '-r', '-s', '-s', '-S', '-t', '-T', '-v', '-w', '-W', '--help', '--version']"
12,printenv,"['-0', '--help', '--version']"
45,printf,"['--help', '--version']"
19,ptx,"['-A', '-G', '-F', '-M', '-O', '-R', '-S', '-T', '-W', '-b', '-f', '-g', '-i', '-o', '-r', '-t', '-w', '--help', '--version']"
43,pwd,"['-L', '-P', '--help', '--version']"
30,readlink,"['-f', '-e', '-m', '-n', '-q', '-s', '-v', '-z', '--help', '--version']"
105,realpath,"['-e', '-m', '-L', '-P', '-q', '--relative', '--relative', '-s', '-z', '--help', '--version']"
64,rm,"['-f', '-i', '-I', '--interactive', '--one', '--no', '--preserve', '-r', '-d', '-v', '--help', '--version']"
29,rmdir,"['--ignore', '-p', '-v', '--help', '--version']"
0,runcon,"['-c', '-t', '-u', '-r', '-l', '--help', '--version']"
26,seq,"['-f', '-s', '-w', '--help', '--version']"
87,sha1sum,"['-b', '-c', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
23,sha224sum,"['-b', '-c', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
71,sha256sum,"['-b', '-c', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
100,sha384sum,"['-b', '-c', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
75,sha512sum,"['-b', '-c', '--tag', '-t', '-z', '--ignore', '--quiet', '--status', '--strict', '-w', '--help', '--version']"
78,shred,"['-f', '-n', '--random', '-s', '-u', '--remove', '-v', '-x', '-z', '--help', '--version']"
28,shuf,"['-e', '-i', '-n', '-o', '--random', '-r', '-z', '--help', '--version']"
97,sleep,"['--help', '--version']"
92,sort,"['-b', '-d', '-f', '-g', '-i', '-M', '-h', '-n', '-R', '--random', '-r', '--sort', '-V', '--batch', '-c', '-C', '--compress', '--debug', '--files0', '-k', '-m', '-o', '-s', '-S', '-t', '-T', '--parallel', '-u', '-z', '--help', '--version']"
38,split,"['-a', '--additional', '-b', '-C', '-d', '--numeric', '-x', '--hex', '-e', '--filter', '-l', '-n', '-t', '-u', '--verbose', '--help', '--version']"
42,stat,"['-L', '-f', '--cached', '-c', '--printf', '-t', '--help', '--version', '--terse', '--terse']"
99,stdbuf,"['-i', '-o', '-e', '--help', '--version']"
50,stty,"['-a', '-g', '-F', '--help', '--version', '-cbreak', '-cooked', '-evenp', '-litout', '-nl', '-oddp', '-pass8', '-inlcr', '-isig', '-raw', '-ixoff']"
67,sum,"['-r', '-s', '--help', '--version']"
24,sync,"['-d', '-f', '--help', '--version']"
33,tac,"['-b', '-r', '-s', '--help', '--version']"
102,tail,"['-c', '-f', '-F', '-n', '--max', '--pid', '-q', '--retry', '-s', '-v', '-z', '--help', '--version']"
81,tee,"['-a', '-i', '-p', '--output', '--help', '--version']"
46,test,[]
108,timeout,"['--preserve', '--foreground', '-k', '-s', '-v', '--help', '--version']"
74,touch,"['-a', '-c', '-d', '-f', '-h', '-m', '-r', '-t', '--time', '--help', '--version']"
10,tr,"['-c', '-d', '-s', '-t', '--help', '--version', '-t']"
4,true,"['--help', '--version']"
63,truncate,"['-c', '-o', '-r', '-s', '--help', '--version']"
88,tsort,"['--help', '--version']"
5,tty,"['-s', '--help', '--version']"
15,uname,"['-a', '-s', '-n', '-r', '-v', '-m', '-p', '-i', '-o', '--help', '--version']"
101,unexpand,"['-a', '--first', '-t', '-t', '--help', '--version']"
104,uniq,"['-c', '-d', '-D', '--all', '-f', '--group', '-i', '-s', '-u', '-z', '-w', '--help', '--version']"
73,unlink,"['--help', '--version']"
76,uptime,"['--help', '--version']"
66,users,"['--help', '--version']"
70,vdir,"['-a', '-A', '--author', '-b', '--block', '-B', '-c', '-C', '--color', '-d', '-D', '-f', '-F', '--file', '--format', '--full', '-g', '--group', '-G', '-h', '--si', '-H', '--dereference', '--hide', '--hyperlink', '--indicator', '-i', '-I', '-k', '-l', '-L', '-m', '-n', '-N', '-o', '-p', '-q', '--show', '-Q', '--quoting', '-r', '-R', '-s', '-S', '--sort', '--time', '--time', '-t', '-T', '-u', '-U', '-v', '-w', '-x', '-X', '-Z', '--zero', '-1', '--help', '--version']"
39,wc,"['-c', '-m', '-l', '--files0', '-L', '-w', '--total', '--help', '--version']"
20,who,"['-a', '-b', '-d', '-H', '-l', '--lookup', '-m', '-p', '-q', '-r', '-s', '-t', '-T', '-u', '--message', '--writable', '--help', '--version']"
55,whoami,"['--help', '--version']"
95,yes,"['--help', '--version']"
