PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
35590668,3180358,BusyBox,cat,1,35788421,3180772,35598176,3180701
2047358,174542,GNU,cat,1,2053340,174399,2073969,174731
1418643646,133395325,ToyBox,cat,1,1421365990,133411263,1423375934,133379673
460944254,43442534,BusyBox,cksum,1,464248445,43579741,461043497,43582321
22168889,1773628,GNU,cksum,1,22005131,1755723,21807256,1750185
389073467,36113122,ToyBox,cksum,1,388271772,36119906,388175581,35984419
301206565,26075476,BusyBox,sort,1,301986898,25954696,300615136,26015950
89052934,5996938,GNU,sort,1,93519413,6128650,88846574,5990229
442347439,39243981,ToyBox,sort,1,444056236,39281080,442996913,39225641
295898,24463,BusyBox,mkdir,1,275329,24431,269164,24265
330932,28295,GNU,mkdir,1,283813,25021,268920,24757
285521,25153,ToyBox,mkdir,1,282226,24518,280394,24707
302978,24647,BusyBox,logname,1,307860,24746,303405,24687
302856,24788,GNU,logname,1,303161,24850,303221,24693
310607,26860,ToyBox,logname,1,284546,24835,272094,24665
5944137,475948,BusyBox,cut,1,6000839,476150,5746018,476059
2325251,186007,GNU,cut,1,2338373,186296,2311517,186181
11465302,983527,ToyBox,cut,1,11406953,975349,11464387,971907
269591,24330,BusyBox,chmod,1,283019,24577,268859,24200
293700,24449,GNU,chmod,1,283752,24537,289855,24604
318541,27095,ToyBox,chmod,1,285583,24596,289917,24642
292236,24482,BusyBox,ln,1,276733,24480,290099,24246
290893,24480,GNU,ln,1,292602,24511,303405,24679
320922,28182,ToyBox,ln,1,304260,24767,300841,24568
295593,25508,BusyBox,md5sum,1,302367,25597,296081,25410
313171,25608,GNU,md5sum,1,317504,25578,296263,25563
336974,28614,ToyBox,md5sum,1,332763,26859,329772,26870
269897,24250,BusyBox,True,1,276794,24525,269897,24407
280700,24492,GNU,True,1,271484,24303,268981,24364
273742,24791,ToyBox,True,1,269653,24480,280822,24448
295287,24429,BusyBox,echo,1,297301,24370,291869,24364
307739,24633,GNU,echo,1,308593,24744,296324,24535
339172,29410,ToyBox,echo,1,308349,24669,279357,24552
294677,24250,BusyBox,False,1,296081,24484,305297,24554
298095,24299,GNU,False,1,300232,24281,302367,24501
320800,27563,ToyBox,False,1,292418,24614,307128,24671
684569,57690,BusyBox,ls,1,651488,55231,666319,54627
545042,45319,GNU,ls,1,550719,45428,542663,45145
2446283,214480,ToyBox,ls,1,2420160,204857,2430841,205255
299987,24541,BusyBox,dirname,1,317015,24624,305480,24336
286559,24652,GNU,dirname,1,307861,24762,293701,24594
330261,28670,ToyBox,dirname,1,299315,24459,312743,24494
35590668,3180358,BusyBox,cat,1,35788421,3180772,35598176,3180701
2047358,174542,GNU,cat,1,2053340,174399,2073969,174731
1418643646,133395325,ToyBox,cat,1,1421365990,133411263,1423375934,133379673
460944254,43442534,BusyBox,cksum,1,464248445,43579741,461043497,43582321
22168889,1773628,GNU,cksum,1,22005131,1755723,21807256,1750185
389073467,36113122,ToyBox,cksum,1,388271772,36119906,388175581,35984419
301206565,26075476,BusyBox,sort,1,301986898,25954696,300615136,26015950
89052934,5996938,GNU,sort,1,93519413,6128650,88846574,5990229
442347439,39243981,ToyBox,sort,1,444056236,39281080,442996913,39225641
295898,24463,BusyBox,mkdir,1,275329,24431,269164,24265
330932,28295,GNU,mkdir,1,283813,25021,268920,24757
285521,25153,ToyBox,mkdir,1,282226,24518,280394,24707
302978,24647,BusyBox,logname,1,307860,24746,303405,24687
302856,24788,GNU,logname,1,303161,24850,303221,24693
310607,26860,ToyBox,logname,1,284546,24835,272094,24665
5944137,475948,BusyBox,cut,1,6000839,476150,5746018,476059
2325251,186007,GNU,cut,1,2338373,186296,2311517,186181
11465302,983527,ToyBox,cut,1,11406953,975349,11464387,971907
269591,24330,BusyBox,chmod,1,283019,24577,268859,24200
293700,24449,GNU,chmod,1,283752,24537,289855,24604
318541,27095,ToyBox,chmod,1,285583,24596,289917,24642
292236,24482,BusyBox,ln,1,276733,24480,290099,24246
290893,24480,GNU,ln,1,292602,24511,303405,24679
320922,28182,ToyBox,ln,1,304260,24767,300841,24568
295593,25508,BusyBox,md5sum,1,302367,25597,296081,25410
313171,25608,GNU,md5sum,1,317504,25578,296263,25563
336974,28614,ToyBox,md5sum,1,332763,26859,329772,26870
269897,24250,BusyBox,True,1,276794,24525,269897,24407
280700,24492,GNU,True,1,271484,24303,268981,24364
273742,24791,ToyBox,True,1,269653,24480,280822,24448
295287,24429,BusyBox,echo,1,297301,24370,291869,24364
307739,24633,GNU,echo,1,308593,24744,296324,24535
339172,29410,ToyBox,echo,1,308349,24669,279357,24552
294677,24250,BusyBox,False,1,296081,24484,305297,24554
298095,24299,GNU,False,1,300232,24281,302367,24501
320800,27563,ToyBox,False,1,292418,24614,307128,24671
684569,57690,BusyBox,ls,1,651488,55231,666319,54627
545042,45319,GNU,ls,1,550719,45428,542663,45145
2446283,214480,ToyBox,ls,1,2420160,204857,2430841,205255
299987,24541,BusyBox,dirname,1,317015,24624,305480,24336
286559,24652,GNU,dirname,1,307861,24762,293701,24594
330261,28670,ToyBox,dirname,1,299315,24459,312743,24494
35590668,3180358,BusyBox,cat,1,35788421,3180772,35598176,3180701
2047358,174542,GNU,cat,1,2053340,174399,2073969,174731
1418643646,133395325,ToyBox,cat,1,1421365990,133411263,1423375934,133379673
460944254,43442534,BusyBox,cksum,1,464248445,43579741,461043497,43582321
22168889,1773628,GNU,cksum,1,22005131,1755723,21807256,1750185
389073467,36113122,ToyBox,cksum,1,388271772,36119906,388175581,35984419
301206565,26075476,BusyBox,sort,1,301986898,25954696,300615136,26015950
89052934,5996938,GNU,sort,1,93519413,6128650,88846574,5990229
442347439,39243981,ToyBox,sort,1,444056236,39281080,442996913,39225641
295898,24463,BusyBox,mkdir,1,275329,24431,269164,24265
330932,28295,GNU,mkdir,1,283813,25021,268920,24757
285521,25153,ToyBox,mkdir,1,282226,24518,280394,24707
302978,24647,BusyBox,logname,1,307860,24746,303405,24687
302856,24788,GNU,logname,1,303161,24850,303221,24693
310607,26860,ToyBox,logname,1,284546,24835,272094,24665
5944137,475948,BusyBox,cut,1,6000839,476150,5746018,476059
2325251,186007,GNU,cut,1,2338373,186296,2311517,186181
11465302,983527,ToyBox,cut,1,11406953,975349,11464387,971907
269591,24330,BusyBox,chmod,1,283019,24577,268859,24200
293700,24449,GNU,chmod,1,283752,24537,289855,24604
318541,27095,ToyBox,chmod,1,285583,24596,289917,24642
292236,24482,BusyBox,ln,1,276733,24480,290099,24246
290893,24480,GNU,ln,1,292602,24511,303405,24679
320922,28182,ToyBox,ln,1,304260,24767,300841,24568
295593,25508,BusyBox,md5sum,1,302367,25597,296081,25410
313171,25608,GNU,md5sum,1,317504,25578,296263,25563
336974,28614,ToyBox,md5sum,1,332763,26859,329772,26870
269897,24250,BusyBox,True,1,276794,24525,269897,24407
280700,24492,GNU,True,1,271484,24303,268981,24364
273742,24791,ToyBox,True,1,269653,24480,280822,24448
295287,24429,BusyBox,echo,1,297301,24370,291869,24364
307739,24633,GNU,echo,1,308593,24744,296324,24535
339172,29410,ToyBox,echo,1,308349,24669,279357,24552
294677,24250,BusyBox,False,1,296081,24484,305297,24554
298095,24299,GNU,False,1,300232,24281,302367,24501
320800,27563,ToyBox,False,1,292418,24614,307128,24671
684569,57690,BusyBox,ls,1,651488,55231,666319,54627
545042,45319,GNU,ls,1,550719,45428,542663,45145
2446283,214480,ToyBox,ls,1,2420160,204857,2430841,205255
299987,24541,BusyBox,dirname,1,317015,24624,305480,24336
286559,24652,GNU,dirname,1,307861,24762,293701,24594
330261,28670,ToyBox,dirname,1,299315,24459,312743,24494
1418643646,133395325,ToyBox,cat,1,1421365990,133411263,1423375934,133379673
35590668,3180358,BusyBox,cat,1,35788421,3180772,35598176,3180701
2047358,174542,GNU,cat,1,2053340,174399,2073969,174731
389073467,36113122,ToyBox,cksum,1,388271772,36119906,388175581,35984419
460944254,43442534,BusyBox,cksum,1,464248445,43579741,461043497,43582321
22168889,1773628,GNU,cksum,1,22005131,1755723,21807256,1750185
442347439,39243981,ToyBox,sort,1,444056236,39281080,442996913,39225641
301206565,26075476,BusyBox,sort,1,301986898,25954696,300615136,26015950
89052934,5996938,GNU,sort,1,93519413,6128650,88846574,5990229
285521,25153,ToyBox,mkdir,1,282226,24518,280394,24707
295898,24463,BusyBox,mkdir,1,275329,24431,269164,24265
330932,28295,GNU,mkdir,1,283813,25021,268920,24757
310607,26860,ToyBox,logname,1,284546,24835,272094,24665
302978,24647,BusyBox,logname,1,307860,24746,303405,24687
302856,24788,GNU,logname,1,303161,24850,303221,24693
11465302,983527,ToyBox,cut,1,11406953,975349,11464387,971907
5944137,475948,BusyBox,cut,1,6000839,476150,5746018,476059
2325251,186007,GNU,cut,1,2338373,186296,2311517,186181
318541,27095,ToyBox,chmod,1,285583,24596,289917,24642
269591,24330,BusyBox,chmod,1,283019,24577,268859,24200
293700,24449,GNU,chmod,1,283752,24537,289855,24604
320922,28182,ToyBox,ln,1,304260,24767,300841,24568
292236,24482,BusyBox,ln,1,276733,24480,290099,24246
290893,24480,GNU,ln,1,292602,24511,303405,24679
336974,28614,ToyBox,md5sum,1,332763,26859,329772,26870
295593,25508,BusyBox,md5sum,1,302367,25597,296081,25410
313171,25608,GNU,md5sum,1,317504,25578,296263,25563
273742,24791,ToyBox,True,1,269653,24480,280822,24448
269897,24250,BusyBox,True,1,276794,24525,269897,24407
280700,24492,GNU,True,1,271484,24303,268981,24364
339172,29410,ToyBox,echo,1,308349,24669,279357,24552
295287,24429,BusyBox,echo,1,297301,24370,291869,24364
307739,24633,GNU,echo,1,308593,24744,296324,24535
320800,27563,ToyBox,False,1,292418,24614,307128,24671
294677,24250,BusyBox,False,1,296081,24484,305297,24554
298095,24299,GNU,False,1,300232,24281,302367,24501
2446283,214480,ToyBox,ls,1,2420160,204857,2430841,205255
684569,57690,BusyBox,ls,1,651488,55231,666319,54627
545042,45319,GNU,ls,1,550719,45428,542663,45145
330261,28670,ToyBox,dirname,1,299315,24459,312743,24494
299987,24541,BusyBox,dirname,1,317015,24624,305480,24336
286559,24652,GNU,dirname,1,307861,24762,293701,24594
111239705,9923319,ToyBox,wc,1,111174459,9932667,111274068,9937899
81297522,7228935,BusyBox,wc,1,81421667,7230898,81313329,7231052
426204170,37680193,GNU,wc,1,430380795,38040721,429680846,37719456
573406369,53614709,ToyBox,comm,1,573004942,53542499,572500915,53350997
127311442,10430021,BusyBox,comm,1,117379216,10403142,116601996,10403825
55254436,4910525,GNU,comm,1,59361054,4911828,55211894,4911968
342345,29348,ToyBox,df,1,324462,26096,322204,26075
300780,24890,BusyBox,df,1,301818,24816,309082,24737
287108,25369,GNU,df,1,326354,25330,321471,25330
320922,28550,ToyBox,factor,1,304503,24567,307677,24836
292663,24487,BusyBox,factor,1,308715,24594,292358,24438
307983,24668,GNU,factor,1,309325,24672,309142,24815
292785,23556,ToyBox,du,1,295410,23222,285827,23314
282897,23226,BusyBox,du,1,285277,23167,282714,23099
283934,23129,GNU,du,1,286499,23221,281798,23083
345397,29456,ToyBox,id,1,293090,24641,303283,24702
303161,24458,BusyBox,id,1,303649,24513,293090,24378
307738,25140,GNU,id,1,310058,24846,303893,24976
508299,42460,ToyBox,expand,1,488647,37974,487364,38232
14115869,1149113,BusyBox,expand,1,14288049,1149046,14220911,1148616
6865034,548305,GNU,expand,1,6633528,547317,6804121,548042
321593,28494,ToyBox,link,1,303588,24663,289428,24592
293335,24573,BusyBox,link,1,306335,24636,290954,24565
304443,24693,GNU,link,1,311706,24626,301818,24593
99091177,7782596,ToyBox,cp,1,98693167,7761086,98568351,7738996
98947744,7738445,BusyBox,cp,1,99549916,7763403,98469597,7738005
99075552,7778181,GNU,cp,1,99471425,7804837,115041820,9063448
294616,25450,ToyBox,touch,1,270385,24714,280761,24757
279784,24390,BusyBox,touch,1,281066,24612,269104,24525
280639,24605,GNU,touch,1,282836,24649,281981,24783
340881,30201,ToyBox,head,1,322387,26349,303832,24642
295775,24331,BusyBox,head,1,301513,24330,293823,24483
311217,24738,GNU,head,1,307556,24521,299133,24449
284728,25156,ToyBox,mv,1,281555,24590,280517,24500
280517,24585,BusyBox,mv,1,272826,24666,280028,24297
280700,24928,GNU,mv,1,295837,25294,277465,25199
333252,29299,ToyBox,date,1,310485,24727,309142,24622
297972,24414,BusyBox,date,1,276427,24411,310363,24633
295653,24537,GNU,date,1,298584,24562,296996,24734
81297522,7228935,BusyBox,wc,1,81421667,7230898,81313329,7231052
426204170,37680193,GNU,wc,1,430380795,38040721,429680846,37719456
111239705,9923319,ToyBox,wc,1,111174459,9932667,111274068,9937899
127311442,10430021,BusyBox,comm,1,117379216,10403142,116601996,10403825
55254436,4910525,GNU,comm,1,59361054,4911828,55211894,4911968
573406369,53614709,ToyBox,comm,1,573004942,53542499,572500915,53350997
300780,24890,BusyBox,df,1,301818,24816,309082,24737
287108,25369,GNU,df,1,326354,25330,321471,25330
342345,29348,ToyBox,df,1,324462,26096,322204,26075
292663,24487,BusyBox,factor,1,308715,24594,292358,24438
307983,24668,GNU,factor,1,309325,24672,309142,24815
320922,28550,ToyBox,factor,1,304503,24567,307677,24836
282897,23226,BusyBox,du,1,285277,23167,282714,23099
283934,23129,GNU,du,1,286499,23221,281798,23083
292785,23556,ToyBox,du,1,295410,23222,285827,23314
303161,24458,BusyBox,id,1,303649,24513,293090,24378
307738,25140,GNU,id,1,310058,24846,303893,24976
345397,29456,ToyBox,id,1,293090,24641,303283,24702
14115869,1149113,BusyBox,expand,1,14288049,1149046,14220911,1148616
6865034,548305,GNU,expand,1,6633528,547317,6804121,548042
508299,42460,ToyBox,expand,1,488647,37974,487364,38232
293335,24573,BusyBox,link,1,306335,24636,290954,24565
304443,24693,GNU,link,1,311706,24626,301818,24593
321593,28494,ToyBox,link,1,303588,24663,289428,24592
98947744,7738445,BusyBox,cp,1,99549916,7763403,98469597,7738005
99075552,7778181,GNU,cp,1,99471425,7804837,115041820,9063448
99091177,7782596,ToyBox,cp,1,98693167,7761086,98568351,7738996
279784,24390,BusyBox,touch,1,281066,24612,269104,24525
280639,24605,GNU,touch,1,282836,24649,281981,24783
294616,25450,ToyBox,touch,1,270385,24714,280761,24757
295775,24331,BusyBox,head,1,301513,24330,293823,24483
311217,24738,GNU,head,1,307556,24521,299133,24449
340881,30201,ToyBox,head,1,322387,26349,303832,24642
280517,24585,BusyBox,mv,1,272826,24666,280028,24297
280700,24928,GNU,mv,1,295837,25294,277465,25199
284728,25156,ToyBox,mv,1,281555,24590,280517,24500
297972,24414,BusyBox,date,1,276427,24411,310363,24633
295653,24537,GNU,date,1,298584,24562,296996,24734
333252,29299,ToyBox,date,1,310485,24727,309142,24622
81297522,7228935,BusyBox,wc,1,81421667,7230898,81313329,7231052
426204170,37680193,GNU,wc,1,430380795,38040721,429680846,37719456
111239705,9923319,ToyBox,wc,1,111174459,9932667,111274068,9937899
127311442,10430021,BusyBox,comm,1,117379216,10403142,116601996,10403825
55254436,4910525,GNU,comm,1,59361054,4911828,55211894,4911968
573406369,53614709,ToyBox,comm,1,573004942,53542499,572500915,53350997
300780,24890,BusyBox,df,1,301818,24816,309082,24737
287108,25369,GNU,df,1,326354,25330,321471,25330
342345,29348,ToyBox,df,1,324462,26096,322204,26075
292663,24487,BusyBox,factor,1,308715,24594,292358,24438
307983,24668,GNU,factor,1,309325,24672,309142,24815
320922,28550,ToyBox,factor,1,304503,24567,307677,24836
282897,23226,BusyBox,du,1,285277,23167,282714,23099
283934,23129,GNU,du,1,286499,23221,281798,23083
292785,23556,ToyBox,du,1,295410,23222,285827,23314
303161,24458,BusyBox,id,1,303649,24513,293090,24378
307738,25140,GNU,id,1,310058,24846,303893,24976
345397,29456,ToyBox,id,1,293090,24641,303283,24702
14115869,1149113,BusyBox,expand,1,14288049,1149046,14220911,1148616
6865034,548305,GNU,expand,1,6633528,547317,6804121,548042
508299,42460,ToyBox,expand,1,488647,37974,487364,38232
293335,24573,BusyBox,link,1,306335,24636,290954,24565
304443,24693,GNU,link,1,311706,24626,301818,24593
321593,28494,ToyBox,link,1,303588,24663,289428,24592
98947744,7738445,BusyBox,cp,1,99549916,7763403,98469597,7738005
99075552,7778181,GNU,cp,1,99471425,7804837,115041820,9063448
99091177,7782596,ToyBox,cp,1,98693167,7761086,98568351,7738996
279784,24390,BusyBox,touch,1,281066,24612,269104,24525
280639,24605,GNU,touch,1,282836,24649,281981,24783
294616,25450,ToyBox,touch,1,270385,24714,280761,24757
295775,24331,BusyBox,head,1,301513,24330,293823,24483
311217,24738,GNU,head,1,307556,24521,299133,24449
340881,30201,ToyBox,head,1,322387,26349,303832,24642
280517,24585,BusyBox,mv,1,272826,24666,280028,24297
280700,24928,GNU,mv,1,295837,25294,277465,25199
284728,25156,ToyBox,mv,1,281555,24590,280517,24500
297972,24414,BusyBox,date,1,276427,24411,310363,24633
295653,24537,GNU,date,1,298584,24562,296996,24734
333252,29299,ToyBox,date,1,310485,24727,309142,24622
81297522,7228935,BusyBox,wc,1,81421667,7230898,81313329,7231052
426204170,37680193,GNU,wc,1,430380795,38040721,429680846,37719456
111239705,9923319,ToyBox,wc,1,111174459,9932667,111274068,9937899
127311442,10430021,BusyBox,comm,1,117379216,10403142,116601996,10403825
55254436,4910525,GNU,comm,1,59361054,4911828,55211894,4911968
573406369,53614709,ToyBox,comm,1,573004942,53542499,572500915,53350997
300780,24890,BusyBox,df,1,301818,24816,309082,24737
287108,25369,GNU,df,1,326354,25330,321471,25330
342345,29348,ToyBox,df,1,324462,26096,322204,26075
292663,24487,BusyBox,factor,1,308715,24594,292358,24438
307983,24668,GNU,factor,1,309325,24672,309142,24815
320922,28550,ToyBox,factor,1,304503,24567,307677,24836
282897,23226,BusyBox,du,1,285277,23167,282714,23099
283934,23129,GNU,du,1,286499,23221,281798,23083
292785,23556,ToyBox,du,1,295410,23222,285827,23314
303161,24458,BusyBox,id,1,303649,24513,293090,24378
307738,25140,GNU,id,1,310058,24846,303893,24976
345397,29456,ToyBox,id,1,293090,24641,303283,24702
14115869,1149113,BusyBox,expand,1,14288049,1149046,14220911,1148616
6865034,548305,GNU,expand,1,6633528,547317,6804121,548042
508299,42460,ToyBox,expand,1,488647,37974,487364,38232
293335,24573,BusyBox,link,1,306335,24636,290954,24565
304443,24693,GNU,link,1,311706,24626,301818,24593
321593,28494,ToyBox,link,1,303588,24663,289428,24592
98947744,7738445,BusyBox,cp,1,99549916,7763403,98469597,7738005
99075552,7778181,GNU,cp,1,99471425,7804837,115041820,9063448
99091177,7782596,ToyBox,cp,1,98693167,7761086,98568351,7738996
279784,24390,BusyBox,touch,1,281066,24612,269104,24525
280639,24605,GNU,touch,1,282836,24649,281981,24783
294616,25450,ToyBox,touch,1,270385,24714,280761,24757
295775,24331,BusyBox,head,1,301513,24330,293823,24483
311217,24738,GNU,head,1,307556,24521,299133,24449
340881,30201,ToyBox,head,1,322387,26349,303832,24642
280517,24585,BusyBox,mv,1,272826,24666,280028,24297
280700,24928,GNU,mv,1,295837,25294,277465,25199
284728,25156,ToyBox,mv,1,281555,24590,280517,24500
297972,24414,BusyBox,date,1,276427,24411,310363,24633
295653,24537,GNU,date,1,298584,24562,296996,24734
333252,29299,ToyBox,date,1,310485,24727,309142,24622
