Utility,Nr_options,RT_options
kill,10,"['-experiment', '-s', '-SIGNAL', '-experiment', '-l', '-experiment', '-t', '-s', '--signal', '-SIGNAL', '-l', '--list', '-t', '--table', '--help', '--version']"
expr,3,"['-experiment', '-experiment', '--help', '--version']"
expand,7,"['-experiment', '-i', '--initial', '-t', '--tabs', '-t', '--tabs', '--help', '--version']"
stdbuf,9,"['-experiment', '-i', '--input', '-o', '--output', '-e', '--error', '--help', '--version']"
cut,22,"['-experiment', '-b', '--bytes', '-c', '--characters', '-d', '--delimiter', '-f', '--fields', '-s', '-n', '--complement', '-s', '--only', '-delimited', '--output', '-delimiter', '-z', '--zero', '-terminated', '--help', '--version', '-b', '-c', '-f', '-M', '-M']"
stty,61,"['-experiment', '-F', '--file', '-experiment', '-F', '--file', '-a', '--all', '-experiment', '-F', '--file', '-g', '--save', '-a', '--all', '-readable', '-g', '--save', '-readable', '-F', '--file', '--help', '--version', '-POSIX', '-icanon', '-icanon', '-8', '-0', '-character', '-newline', '-tabs', '-space', '-backspace', '-crtkill', '-POSIX', '-icanon', '-cbreak', '-cooked', '-ixany', '-parodd', '-evenp', '-parenb', '-parenb', '-istrip', '-opost', '-litout', '-icrnl', '-onlcr', '-nl', '-inlcr', '-igncr', '-ocrnl', '-onlret', '-oddp', '-parenb', '-parenb', '-istrip', '-pass8', '-ignbrk', '-brkint', '-ignpar', '-parmrk', '-inpck', '-istrip', '-inlcr', '-igncr', '-icrnl', '-ixon', '-ixoff', '-icanon', '-opost', '-isig', '-iuclc', '-ixany', '-imaxbel', '-xcase', '-raw', '-ignbrk', '-inlcr', '-igncr', '-echonl', '-noflsh', '-ixoff', '-iutf8', '-iuclc', '-ixany', '-xcase', '-olcuc', '-ocrnl', '-ofill', '-onocr', '-onlret', '-tostop', '-ofdel', '-echoprt', '-extproc', '-flusho']"
who,32,"['-experiment', '-a', '--all', '-b', '-d', '--login', '-p', '-r', '-t', '-T', '-u', '-b', '--boot', '-d', '--dead', '-H', '--heading', '-l', '--login', '--lookup', '-m', '-p', '--process', '-q', '--count', '-r', '--runlevel', '-s', '--short', '-t', '--time', '-T', '-w', '--mesg', '-u', '--users', '--message', '-T', '--writable', '-T', '--help', '--version', '-m']"
dd,8,"['-experiment', '-experiment', '-sized', '-sized', '-terminated', '-size', '-size', '-NUL', '-size', '-blocking', '--help', '--version']"
ls,109,"['-experiment', '-cftuvSUX', '--sort', '-a', '--all', '-A', '--almost', '-all', '--author', '-l', '-b', '--escape', '-style', '--block', '-size', '-l', '--block', '-size', '-B', '--ignore', '-backups', '-c', '-lt', '-l', '-C', '--color', '-d', '--directory', '-D', '--dired', '-f', '-F', '--classify', '--file', '-type', '--format', '-x', '-m', '-x', '-l', '-column', '-1', '-l', '-C', '--full', '-time', '-l', '--time', '-style', '-iso', '-g', '-l', '--group', '-directories', '-first', '--sort', '--sort', '-U', '-G', '--no', '-group', '-h', '--human', '-readable', '-l', '-s', '--si', '-H', '--dereference', '-command', '-line', '--dereference', '-command', '-line', '-symlink', '-to', '-dir', '--hide', '-a', '-A', '--hyperlink', '--indicator', '-style', '-p', '-type', '--file', '-type', '-F', '-i', '--inode', '-I', '--ignore', '-k', '--kibibytes', '-byte', '-s', '-l', '-L', '--dereference', '-m', '-n', '--numeric', '-uid', '-gid', '-l', '-N', '--literal', '-o', '-l', '-p', '--indicator', '-style', '-q', '--hide', '-control', '-chars', '--show', '-control', '-chars', '-is', '-Q', '--quote', '-name', '--quoting', '-style', '-always', '-escape', '-escape', '-always', '-r', '--reverse', '-R', '--recursive', '-s', '--size', '-S', '--sort', '-U', '-S', '-t', '-v', '-X', '--time', '-u', '-c', '-l', '--sort', '--time', '-style', '-l', '-t', '--time', '-T', '--tabsize', '-u', '-lt', '-l', '-U', '-v', '-w', '--width', '-x', '-X', '-Z', '--context', '--zero', '-1', '--help', '--version', '-iso', '-iso', '-recent', '--color', '--color', '-line']"
logname,3,"['-experiment', '--help', '--version']"
du,56,"['-experiment', '-experiment', '--files0', '-from', '-0', '--null', '-a', '--all', '--apparent', '-size', '-B', '--block', '-size', '-BM', '-b', '--bytes', '--apparent', '-size', '--block', '-size', '-c', '--total', '-D', '--dereference', '-args', '-d', '--max', '-depth', '--all', '--max', '-depth', '--summarize', '--files0', '-from', '-terminated', '-H', '--dereference', '-args', '-D', '-h', '--human', '-readable', '--inodes', '-k', '--block', '-size', '-L', '--dereference', '-l', '--count', '-links', '-m', '--block', '-size', '-P', '--no', '-dereference', '-S', '--separate', '-dirs', '--si', '-h', '-s', '--summarize', '-t', '--threshold', '--time', '--time', '--time', '-style', '-iso', '-iso', '-X', '--exclude', '-from', '--exclude', '-x', '--one', '-file', '-system', '--help', '--version', '--block', '-size']"
timeout,14,"['-experiment', '-experiment', '--preserve', '-status', '--foreground', '-k', '--kill', '-after', '-s', '--signal', '-l', '-v', '--verbose', '--help', '--version', '--preserve', '-status']"
users,3,"['-experiment', '--help', '--version']"
csplit,21,"['-experiment', '-b', '--suffix', '-format', '-f', '--prefix', '-k', '--keep', '-files', '--suppress', '-matched', '-n', '--digits', '-s', '--quiet', '--silent', '-z', '--elide', '-empty', '-files', '--help', '--version']"
truncate,13,"['-experiment', '-c', '--no', '-create', '-o', '--io', '-blocks', '-r', '--reference', '-s', '--size', '--help', '--version']"
join,23,"['-experiment', '-a', '-e', '-12jo', '-i', '--ignore', '-case', '-j', '-1', '-2', '-o', '-t', '-v', '-a', '-1', '-2', '--check', '-order', '--nocheck', '-order', '--header', '-z', '--zero', '-terminated', '--help', '--version', '-t', '-k', '-t']"
tail,26,"['-experiment', '-c', '--bytes', '-c', '-f', '--follow', '-F', '--follow', '--retry', '-n', '--lines', '-n', '--max', '-unchanged', '-stats', '--follow', '--pid', '-f', '-q', '--quiet', '--silent', '--retry', '-s', '--sleep', '-interval', '-f', '--pid', '-v', '--verbose', '-z', '--zero', '-terminated', '--help', '--version', '--follow', '-f', '--follow']"
mkfifo,7,"['-experiment', '-m', '--mode', '-Z', '--context', '-Z', '--help', '--version']"
stat,16,"['-experiment', '-L', '--dereference', '-f', '--file', '-system', '--cached', '-c', '--format', '--printf', '--format', '-t', '--terse', '--help', '--version', '--cached', '--file', '-system', '-readable', '-readable', '-readable', '-readable', '-superuser', '--terse', '--terse', '--file', '-system']"
tsort,3,"['-experiment', '--help', '--version']"
nproc,5,"['-experiment', '--all', '--ignore', '--help', '--version']"
pinky,12,"['-experiment', '-l', '-b', '-h', '-p', '-s', '-f', '-w', '-i', '-q', '--help', '--version']"
chmod,19,"['-experiment', '-experiment', '-MODE', '-experiment', '--reference', '--reference', '-c', '--changes', '-f', '--silent', '--quiet', '-v', '--verbose', '--no', '-preserve', '-root', '--preserve', '-root', '--reference', '-R', '--recursive', '--help', '--version', '-7']"
runcon,13,"['-experiment', '-experiment', '-c', '-u', '-r', '-t', '-l', '-c', '--compute', '-t', '--type', '-u', '--user', '-r', '--role', '-l', '--range', '--help', '--version']"
basenc,21,"['-experiment', '--base64', '--base64url', '-safe', '--base32', '--base32hex', '--base16', '--base2msbf', '--base2lsbf', '-d', '--decode', '-i', '--ignore', '-garbage', '-alphabet', '-w', '--wrap', '--z85', '-like', '--help', '--version', '--ignore', '-garbage', '-alphabet']"
mv,30,"['-experiment', '-T', '-experiment', '-experiment', '-t', '--backup', '-b', '--backup', '--debug', '-v', '-f', '--force', '-i', '--interactive', '-n', '--no', '-clobber', '-i', '-f', '-n', '--no', '-copy', '--strip', '-trailing', '-slashes', '-S', '--suffix', '-t', '--target', '-directory', '-T', '--no', '-target', '-directory', '--update', '-u', '--update', '-v', '--verbose', '-Z', '--context', '--help', '--version', '--update', '--no', '-clobber', '--update', '--suffix', '--backup', '--backup']"
split,32,"['-experiment', '-a', '--suffix', '-length', '--additional', '-suffix', '-b', '--bytes', '-C', '--line', '-bytes', '-d', '--numeric', '-suffixes', '-d', '-x', '--hex', '-suffixes', '-x', '-e', '--elide', '-empty', '-files', '-n', '--filter', '-l', '--lines', '-n', '--number', '-t', '--separator', '-u', '--unbuffered', '-n', '--verbose', '--help', '--version']"
unexpand,9,"['-experiment', '-a', '--all', '--first', '-only', '-a', '-t', '--tabs', '-a', '-t', '--tabs', '--help', '--version']"
pwd,7,"['-experiment', '-L', '--logical', '-P', '--physical', '--help', '--version', '-P']"
touch,18,"['-experiment', '-c', '-h', '-a', '-c', '--no', '-create', '-d', '--date', '-f', '-h', '--no', '-dereference', '-m', '-r', '--reference', '-t', '--time', '-a', '-m', '--help', '--version', '-d', '-t', '-date']"
link,3,"['-experiment', '-experiment', '--help', '--version']"
sleep,3,"['-experiment', '-experiment', '--help', '--version']"
false,3,"['-experiment', '-experiment', '--help', '--version']"
groups,3,"['-experiment', '--help', '--version']"
dcgen,2,"['--help', '-experiment']"
date,32,"['-experiment', '-experiment', '-u', '--utc', '--universal', '-s', '-d', '--date', '--debug', '-f', '--file', '--date', '-I', '--iso', '-8601', '-08', '-14T02', '-06', '--resolution', '-R', '--rfc', '-email', '-0600', '--rfc', '-3339', '-08', '-14', '-06', '-r', '--reference', '-s', '--set', '-u', '--utc', '--universal', '--help', '--version', '--date', '--file', '--reference', '--resolution', '-hour', '-hour', '-01', '-01', '-0400', '-04', '-04', '-04', '-01', '-01', '--date', '--date']"
test,0,[]
nice,6,"['-experiment', '-20', '-n', '--adjustment', '--help', '--version']"
sha256sum,24,"['-experiment', '-bit', '-b', '--binary', '-c', '--check', '--tag', '-style', '-t', '--text', '-z', '--zero', '--ignore', '-missing', '--quiet', '--status', '--strict', '-zero', '-w', '--warn', '--help', '--version', '-180', '-2']"
base32,11,"['-experiment', '-d', '--decode', '-i', '--ignore', '-garbage', '-alphabet', '-w', '--wrap', '--help', '--version', '--ignore', '-garbage', '-alphabet']"
sha224sum,22,"['-experiment', '-bit', '-b', '--binary', '-c', '--check', '--tag', '-style', '-t', '--text', '-z', '--zero', '--ignore', '-missing', '--quiet', '--status', '--strict', '-zero', '-w', '--warn', '--help', '--version']"
shuf,21,"['-experiment', '-experiment', '-e', '-experiment', '-i', '-HI', '-e', '--echo', '-i', '--input', '-range', '-HI', '-n', '--head', '-count', '-o', '--output', '--random', '-source', '-r', '--repeat', '-z', '--zero', '-terminated', '--help', '--version']"
dir,109,"['-experiment', '-cftuvSUX', '--sort', '-a', '--all', '-A', '--almost', '-all', '--author', '-l', '-b', '--escape', '-style', '--block', '-size', '-l', '--block', '-size', '-B', '--ignore', '-backups', '-c', '-lt', '-l', '-C', '--color', '-d', '--directory', '-D', '--dired', '-f', '-F', '--classify', '--file', '-type', '--format', '-x', '-m', '-x', '-l', '-column', '-1', '-l', '-C', '--full', '-time', '-l', '--time', '-style', '-iso', '-g', '-l', '--group', '-directories', '-first', '--sort', '--sort', '-U', '-G', '--no', '-group', '-h', '--human', '-readable', '-l', '-s', '--si', '-H', '--dereference', '-command', '-line', '--dereference', '-command', '-line', '-symlink', '-to', '-dir', '--hide', '-a', '-A', '--hyperlink', '--indicator', '-style', '-p', '-type', '--file', '-type', '-F', '-i', '--inode', '-I', '--ignore', '-k', '--kibibytes', '-byte', '-s', '-l', '-L', '--dereference', '-m', '-n', '--numeric', '-uid', '-gid', '-l', '-N', '--literal', '-o', '-l', '-p', '--indicator', '-style', '-q', '--hide', '-control', '-chars', '--show', '-control', '-chars', '-is', '-Q', '--quote', '-name', '--quoting', '-style', '-always', '-escape', '-escape', '-always', '-r', '--reverse', '-R', '--recursive', '-s', '--size', '-S', '--sort', '-U', '-S', '-t', '-v', '-X', '--time', '-u', '-c', '-l', '--sort', '--time', '-style', '-l', '-t', '--time', '-T', '--tabsize', '-u', '-lt', '-l', '-U', '-v', '-w', '--width', '-x', '-X', '-Z', '--context', '--zero', '-1', '--help', '--version', '-iso', '-iso', '-recent', '--color', '--color', '-line']"
mkdir,11,"['-experiment', '-m', '--mode', '-p', '--parents', '-m', '-v', '--verbose', '-Z', '--context', '-Z', '--help', '--version']"
readlink,20,"['-experiment', '-f', '--canonicalize', '-e', '--canonicalize', '-existing', '-m', '--canonicalize', '-missing', '-n', '--no', '-newline', '-q', '--quiet', '-s', '--silent', '-v', '--verbose', '-z', '--zero', '--help', '--version']"
rm,23,"['-experiment', '-f', '--force', '-i', '-I', '-i', '--interactive', '-I', '-i', '--one', '-file', '-system', '--no', '-preserve', '-root', '--preserve', '-root', '-r', '-R', '--recursive', '-d', '--dir', '-v', '--verbose', '--help', '--version', '--recursive', '-r', '-R', '-foo', '-experiment', '-foo', '-experiment', '-foo']"
base64,11,"['-experiment', '-d', '--decode', '-i', '--ignore', '-garbage', '-alphabet', '-w', '--wrap', '--help', '--version', '--ignore', '-garbage', '-alphabet']"
fmt,22,"['-experiment', '-WIDTH', '-WIDTH', '--width', '-c', '--crown', '-margin', '-p', '--prefix', '-s', '--split', '-only', '-t', '--tagged', '-paragraph', '-u', '--uniform', '-spacing', '-w', '--width', '-g', '--goal', '--help', '--version']"
printf,4,"['-experiment', '-experiment', '--help', '--version', '-printable']"
id,19,"['-experiment', '-a', '-Z', '--context', '-g', '--group', '-G', '--groups', '-n', '--name', '-ugG', '-r', '--real', '-ugG', '-u', '--user', '-z', '--zero', '--help', '--version']"
vdir,109,"['-experiment', '-cftuvSUX', '--sort', '-a', '--all', '-A', '--almost', '-all', '--author', '-l', '-b', '--escape', '-style', '--block', '-size', '-l', '--block', '-size', '-B', '--ignore', '-backups', '-c', '-lt', '-l', '-C', '--color', '-d', '--directory', '-D', '--dired', '-f', '-F', '--classify', '--file', '-type', '--format', '-x', '-m', '-x', '-l', '-column', '-1', '-l', '-C', '--full', '-time', '-l', '--time', '-style', '-iso', '-g', '-l', '--group', '-directories', '-first', '--sort', '--sort', '-U', '-G', '--no', '-group', '-h', '--human', '-readable', '-l', '-s', '--si', '-H', '--dereference', '-command', '-line', '--dereference', '-command', '-line', '-symlink', '-to', '-dir', '--hide', '-a', '-A', '--hyperlink', '--indicator', '-style', '-p', '-type', '--file', '-type', '-F', '-i', '--inode', '-I', '--ignore', '-k', '--kibibytes', '-byte', '-s', '-l', '-L', '--dereference', '-m', '-n', '--numeric', '-uid', '-gid', '-l', '-N', '--literal', '-o', '-l', '-p', '--indicator', '-style', '-q', '--hide', '-control', '-chars', '--show', '-control', '-chars', '-is', '-Q', '--quote', '-name', '--quoting', '-style', '-always', '-escape', '-escape', '-always', '-r', '--reverse', '-R', '--recursive', '-s', '--size', '-S', '--sort', '-U', '-S', '-t', '-v', '-X', '--time', '-u', '-c', '-l', '--sort', '--time', '-style', '-l', '-t', '--time', '-T', '--tabsize', '-u', '-lt', '-l', '-U', '-v', '-w', '--width', '-x', '-X', '-Z', '--context', '--zero', '-1', '--help', '--version', '-iso', '-iso', '-recent', '--color', '--color', '-line']"
